@relation smartphone_sleep_quality

@attribute idade NUMERIC
@attribute genero {masculino,feminino}
@attribute horas_uso_diario NUMERIC
@attribute tempo_redes_sociais NUMERIC
@attribute horas_sono NUMERIC
@attribute uso_madrugada {0,1}
@attribute atividade_fisica {alta,moderada,baixa}
@attribute ocupacao {advogado,analista,aposentado,autonomo,desempregado,enfermeiro,engenheiro,estudante,freelancer,gerente,influencer,medico,professor}
@attribute modelo_dispositivo {Asus ROG Phone 7,Google Pixel 7,Huawei P60,Motorola Edge 40,OnePlus 11,Realme 10 Pro,Samsung Galaxy A54,Samsung Galaxy S23,Xiaomi Redmi Note 12,iPhone 13,iPhone 14,iPhone 15 Pro}
@attribute nivel_estresse NUMERIC
@attribute consumo_energia NUMERIC
@attribute despertares_noturnos NUMERIC
@attribute notificacoes_diarias NUMERIC
@attribute luminosidade_ambiente NUMERIC
@attribute insonia {0,1}
@attribute uso_apps_produtividade {0,1}
@attribute nivel_uso {baixo,moderado,alto}
@attribute qualidade_sono {bom,ruim}

@data
33,masculino,9.9,7.3,6.1,1,moderada,autonomo,Samsung Galaxy A54,9.8,7.9,4,296,673.1,0,1,alto,ruim
23,masculino,12.9,5.8,5.8,1,alta,influencer,Samsung Galaxy S23,8.4,6.9,3,364,322.6,0,0,alto,bom
54,masculino,6.8,2.9,6.7,0,baixa,gerente,Xiaomi Redmi Note 12,6.8,4.8,3,327,214.1,1,1,moderado,ruim
22,masculino,7.8,3.4,5.9,1,moderada,estudante,OnePlus 11,7.0,6.5,3,126,454.5,1,0,alto,ruim
21,feminino,8.5,3.0,6.5,0,moderada,estudante,OnePlus 11,7.1,5.8,3,124,536.8,0,1,moderado,ruim
22,feminino,5.0,3.7,6.0,0,baixa,estudante,Google Pixel 7,5.6,5.6,1,108,558.7,0,1,moderado,ruim
28,feminino,2.5,0.8,?,0,alta,professor,Huawei P60,2.6,2.1,1,?,111.8,0,0,baixo,bom
32,masculino,7.4,6.4,6.4,0,baixa,influencer,Realme 10 Pro,6.9,7.5,3,477,599.0,1,0,alto,ruim
28,masculino,9.2,1.3,?,1,baixa,estudante,OnePlus 11,5.5,4.1,2,126,531.0,1,0,alto,ruim
46,masculino,25.0,1.2,6.1,0,baixa,gerente,Huawei P60,6.4,5.1,2,293,371.2,0,0,moderado,bom
