id,idade,horas_uso_diario,tempo_redes_sociais,horas_sono,uso_madrugada,modelo_dispositivo,nivel_uso,qualidade_sono
1,56,2.4,0.5,6.7,0,iPhone 15 Pro,leve,bom
2,17,1.1,0.6,7.7,0,OnePlus 11,leve,bom
3,53,5.6,3.4,6.5,1,iPhone 14,moderado,ruim
4,21,4.1,1.2,7.7,0,iPhone 14,moderado,bom
5,51,4.9,3.5,6.6,0,iPhone 14,moderado,bom
6,30,12.3,4.5,5.5,0,iPhone 14,muito_intenso,ruim
7,54,8.1,1.7,5.2,1,Motorola Edge 40,intenso,ruim
8,65,6.9,0.3,0,1,Motorola Edge 40,intenso,ruim
9,29,7.6,5.6,5.8,1,ASUS Zenfone 10,intenso,ruim
10,43,12.4,2.3,6.2,0,iPhone 14,muito_intenso,ruim
11,25,9.2,3.2,4.0,1,iPhone 15 Pro,intenso,ruim
12,59,8.7,3.8,5.6,1,Xiaomi Redmi Note 12,intenso,ruim
13,48,8.0,0.8,6.5,0,Motorola Edge 40,intenso,bom
14,64,2.9,2.1,7.4,0,Motorola Edge 40,leve,bom
15,35,3.7,1.7,6.6,1,Samsung Galaxy S24,moderado,ruim
16,24,9.8,1.4,5.6,1,Samsung Galaxy A54,intenso,ruim
17,61,6.0,3.2,7.3,0,Motorola Edge 40,moderado,bom
18,17,6.9,1.3,6.8,1,iPhone 14,intenso,ruim
19,48,5.0,0.9,6.8,1,Samsung Galaxy A54,moderado,bom
20,22,1.6,0.6,7.2,0,iPhone 14,leve,bom
21,19,4.0,2.8,6.0,1,iPhone 14,moderado,ruim
22,44,9.4,0.8,6.7,0,Samsung Galaxy A54,intenso,bom
23,26,4.4,3.1,6.4,0,OnePlus 11,moderado,bom
24,34,5.9,4.7,7.3,0,iPhone 15 Pro,moderado,bom
25,53,6.2,1.6,5.5,1,Realme 11 Pro,intenso,ruim
26,21,10.4,0.7,6.9,0,ASUS Zenfone 10,muito_intenso,bom
27,54,0.7,0.4,7.9,0,Motorola Edge 40,leve,bom
28,31,3.4,1.8,,0,ASUS Zenfone 10,moderado,bom
29,22,1.0,0.3,8.4,0,Realme 11 Pro,leve,bom
30,61,6.0,3.9,6.2,0,iPhone 14,moderado,bom
31,24,5.7,3.4,6.1,1,Xiaomi Redmi Note 12,moderado,ruim
32,48,5.7,3.9,7.0,1,Xiaomi Redmi Note 12,moderado,ruim
33,26,8.2,2.9,4.1,1,ASUS Zenfone 10,intenso,ruim
34,51,0.8,0.3,8.4,0,Samsung Galaxy A54,leve,bom
35,59,3.3,2.1,7.3,0,Samsung Galaxy A54,moderado,bom
36,26,14.9,10.5,5.5,1,Samsung Galaxy A54,muito_intenso,ruim
